,id,stateOrProvince,bathrooms,bedrooms,listPrice,livingArea,yearBuilt,lotSize,propertySubType,listingCategory,numParkingSpaces,photoscount,grade
494,1262477,FL,1,2,995.0,1352.0,1980.0,17424.0,Other,Rent,2.0,9,good
495,1256177,NV,2,3,353999.0,1658.0,2004.0,5227.2,Single Family Detached,Purchase,0.0,29,good
497,1238797,AL,1,2,9000.0,764.0,1948.0,122417.00078291811,Other,Purchase,0.0,0,bad
499,1230809,NC,3,4,308000.0,2738.0,2016.0,8145.72,Single Family Detached,Purchase,2.0,25,good
500,1227798,CA,2,4,294900.0,2142.0,2005.0,6970.0,Single Family Detached,Purchase,0.0,23,good
501,1224382,OH,2,2,129900.0,1120.0,1901.0,17424.0,Single Family Detached,Purchase,1.0,16,good
502,1223766,TX,3,4,224900.0,2210.0,2003.0,122417.00078291811,Single Family Detached,Purchase,4.0,31,awesome
503,1223348,SC,3,3,303900.0,2084.289256198347,2002.0,122417.00078291811,Condominium,Purchase,0.0,38,awesome
504,1219662,NY,3,4,539900.0,3278.0,2018.0,122417.00078291811,Single Family Detached,Purchase,0.0,15,good
505,1218441,FL,4,3,1840000.0,2729.0,2018.0,13294.51,Single Family Detached,Purchase,3.0,15,good
506,1202623,MN,1,3,139900.0,2344.0,1927.0,213444.0,Single Family Detached,Purchase,2.0,20,good
507,1201556,CA,3,3,519000.0,2086.0,1987.0,122417.00078291811,Single Family Detached,Purchase,4.0,25,good
508,1199259,FL,2,5,184900.0,1440.0,1961.0,122417.00078291811,Single Family Detached,Purchase,0.0,1,bad
509,1198559,VA,1,2,50000.0,734.0,1986.0,122417.00078291811,Single Family Attached,Purchase,0.0,14,good
510,1196264,TN,1,2,65000.0,1148.0,1900.0,122417.00078291811,Single Family Detached,Purchase,0.0,14,good
511,1177154,IN,2,3,120000.0,1360.0,2000.0,122417.00078291811,Condominium,Purchase,2.0,14,good
512,1163783,VA,5,5,519950.0,4304.0,2007.0,21662.39,Single Family Detached,Purchase,0.0,50,good
513,1163202,SC,3,4,259000.0,2635.0,1993.0,122417.00078291811,Single Family Detached,Purchase,2.0,0,bad
514,1159173,AL,1,3,49000.0,2084.289256198347,1937.0,130.68,Single Family Detached,Purchase,0.0,1,bad
515,1157304,AZ,3,3,324950.0,2207.0,1995.0,8190.02,Single Family Detached,Purchase,0.0,0,bad
516,1145855,NJ,5,5,764900.0,5253.0,2004.0,152024.4,Single Family Detached,Purchase,0.0,0,bad
518,1143076,TX,3,2,1203331.0,1500.0,2006.0,17467560.0,Farm,Purchase,2.0,0,bad
519,1131697,SD,2,3,294900.0,2084.289256198347,2018.0,44431.2,Single Family Detached,Purchase,1002.0,0,bad
520,1131084,NJ,3,3,3500.0,0.0,1990.0,122417.00078291811,Townhouse,Rent,1.0,0,bad
521,1128664,NJ,5,6,559000.0,2084.289256198347,2018.0,4791.6,Other,Purchase,3.0,0,bad
523,1125912,GA,4,5,355962.0,2895.0,2018.0,18730.8,Single Family Detached,Purchase,0.0,0,bad
525,1119662,MO,3,5,499900.0,3774.0,2018.0,217800.0,Single Family Detached,Purchase,0.0,36,good
526,1119490,TN,2,1,144900.0,1356.0,2012.0,21780.0,Single Family Detached,Purchase,2.0,42,good
527,1118239,CA,3,3,459000.0,1933.0,2008.0,3920.4,Single Family Detached,Purchase,2.0,48,good
529,1113266,PR,1,3,55000.0,848.0,1955.0,350.0,Single Family Detached,Purchase,1.0,12,good
530,1112889,TX,2,3,129900.0,1004.0,1951.0,13068.0,Single Family Detached,Purchase,0.0,0,bad
531,1109697,WI,2,2,114900.0,864.0,1950.0,3310560.0,Single Family Detached,Purchase,0.0,13,good
533,1108100,NY,3,3,899000.0,0.0,1935.0,784080.0,Single Family Attached,Purchase,1.0,0,bad
534,1106614,TX,2,2,69900.0,1368.0,1933.0,17249.76,Single Family Detached,Purchase,0.0,0,bad
535,1103262,NJ,2,4,125000.0,2084.289256198347,1892.0,122417.00078291811,Single Family Detached,Purchase,0.0,0,bad
536,1099407,PA,3,4,324900.0,1720.0,1968.0,18513.0,Single Family Detached,Purchase,2.0,24,good
537,1097799,WA,3,4,575000.0,1910.0,1963.0,122417.00078291811,Single Family Detached,Purchase,0.0,24,good
538,1097530,FL,2,1,1600.0,792.0,1968.0,122417.00078291811,Condominium,Rent,1.0,18,good
539,1097339,IN,3,4,239900.0,3024.0,1999.0,151588.8,Single Family Detached,Purchase,2.0,24,good
540,1097111,CO,2,4,299000.0,1728.0,1971.0,10018.8,Single Family Detached,Purchase,0.0,24,good
541,1096361,TX,2,4,175000.0,2312.0,1950.0,13503.6,Single Family Detached,Purchase,2.0,24,good
542,1096239,NJ,2,4,269000.0,2084.289256198347,1974.0,32670.0,Single Family Detached,Purchase,6.0,22,good
543,1092657,WV,2,3,29900.0,2077.0,1900.0,122417.00078291811,Other,Purchase,0.0,0,bad
545,1088733,AZ,2,4,1095.0,1860.0,2006.0,122417.00078291811,Single Family Detached,Rent,0.0,9,good
546,1088524,AZ,2,2,135000.0,920.0,1991.0,2103.99,Other,Purchase,0.0,22,good
547,1088150,AR,3,4,248900.0,2174.0,2005.0,8276.4,Single Family Detached,Purchase,0.0,27,good
548,1082685,CA,4,5,579999.0,3474.0,2013.0,7405.0,Single Family Detached,Purchase,2.0,64,good
549,1076859,VA,3,4,1850.0,2047.0,1987.0,122417.00078291811,Single Family Detached,Rent,0.0,26,good
550,1076015,TN,5,4,609900.0,3850.0,2019.0,12196.8,Single Family Detached,Purchase,3.0,0,bad
552,1069147,FL,2,2,29900.0,1430.0,1987.0,122417.00078291811,Mobile Home,Purchase,0.0,0,bad
553,1068861,NY,2,4,439000.0,0.0,1967.0,122417.00078291811,Single Family Detached,Purchase,0.0,0,bad
554,1068395,NY,2,4,190000.0,1300.0,1925.0,122417.00078291811,Single Family Detached,Purchase,0.0,0,bad
555,1068393,NY,2,3,489000.0,1248.0,1940.0,122417.00078291811,Single Family Detached,Purchase,0.0,0,bad
556,1067286,TX,1,3,159000.0,910.0,1978.0,7448.76,Single Family Detached,Purchase,1.0,0,bad
557,1066127,TX,6,4,5500.0,5393.0,2004.0,33976.8,Single Family Detached,Rent,3.0,0,bad
558,1066126,TX,6,4,899000.0,5393.0,2004.0,33976.8,Single Family Detached,Purchase,3.0,0,bad
560,1048972,WA,2,3,317950.0,1340.0,1986.0,122417.00078291811,Single Family Detached,Purchase,2.0,26,good
561,1048815,GA,4,4,289000.0,3476.0,1995.0,122417.00078291811,Single Family Detached,Purchase,0.0,26,good
562,1036101,IA,3,3,359500.0,1603.0,2018.0,9496.08,Single Family Detached,Purchase,0.0,0,bad
564,1031635,WY,3,4,257500.0,2084.289256198347,2014.0,4791.6,Single Family Attached,Purchase,2.0,0,bad
565,1030684,NY,3,4,426000.0,2450.0,2018.0,122417.00078291811,Single Family Detached,Purchase,0.0,0,bad
567,1023664,AL,2,4,55000.0,1648.0,1930.0,122417.00078291811,Single Family Detached,Purchase,0.0,1,bad
568,1018340,NJ,0,0,499900.0,0.0,2018.0,122417.00078291811,Single Family Detached,Purchase,0.0,0,bad
569,1018323,NJ,7,11,2999999.0,6100.0,1907.0,122417.00078291811,Single Family Detached,Purchase,0.0,0,bad
570,1017444,MO,4,5,399900.0,6900.0,1980.0,261360.0,Single Family Detached,Purchase,6.0,1,bad
571,1017098,NE,0,0,99999.0,2084.289256198347,1922.0,122417.00078291811,Other,Purchase,0.0,1,bad
572,1017021,NY,1,2,560000.0,662.0,2017.0,122417.00078291811,Condominium,Purchase,0.0,1,bad
573,1017020,NY,1,2,680000.0,834.0,2017.0,122417.00078291811,Condominium,Purchase,0.0,1,bad
574,1016812,FL,2,3,82500.0,1368.0,2006.0,122417.00078291811,Mobile Home,Purchase,2.0,0,bad
576,1005748,OR,1,2,120000.0,1091.0,1939.0,15246.0,Single Family Detached,Purchase,0.0,1,bad
578,1004764,HI,0,0,999000.0,2403.0,1987.0,122417.00078291811,Other,Purchase,8.0,0,bad
579,1001661,GA,3,4,169900.0,2035.0,2006.0,122417.00078291811,Single Family Detached,Purchase,0.0,1,bad
580,1000207,MI,3,5,178000.0,2026.0,2007.0,122417.00078291811,Other,Purchase,0.0,0,bad
581,1000110,CA,0,3,1395000.0,1667.0,1937.0,2613.6,Other,Purchase,1.0,1,bad
585,992011,GA,6,6,275000.0,7800.0,1979.0,33541.2,Other,Purchase,2.0,1,bad
586,991779,TN,1,3,40000.0,1036.0,1950.0,122417.00078291811,Single Family Detached,Purchase,0.0,1,bad
587,991203,NC,3,4,260358.0,2084.289256198347,2018.0,1742.4,Townhouse,Purchase,2.0,1,bad
588,990975,WY,1,3,160000.0,1020.0,1971.0,39204.0,Single Family Detached,Purchase,0.0,10,good
589,990468,GA,2,2,160000.0,1140.0,1971.0,122417.00078291811,Single Family Detached,Purchase,3.0,1,bad
590,988779,VA,1,3,39900.0,2084.289256198347,1970.0,420354.0,Single Family Detached,Purchase,0.0,1,bad
591,983301,FL,1,1,775.0,725.0,1982.0,165528.0,Apartment,Rent,0.0,1,bad
592,982351,NE,0,5,519233.0,2936.0,2019.0,122417.00078291811,Single Family Detached,Purchase,3.0,0,bad
594,980113,OK,2,3,575000.0,1986.0,1974.0,120225.6,Single Family Detached,Purchase,1.0,0,bad
595,979884,NH,3,3,329900.0,1840.0,2018.0,256132.8,Single Family Detached,Purchase,2.0,1,bad
598,976289,IL,2,2,80000.0,1100.0,1970.0,122417.00078291811,Condominium,Purchase,0.0,1,bad
599,976097,NJ,1,2,113000.0,2084.289256198347,1986.0,122417.00078291811,Condominium,Purchase,0.0,0,bad
600,975909,NJ,2,3,975000.0,2084.289256198347,1975.0,122417.00078291811,Single Family Detached,Purchase,0.0,0,bad
601,975277,NY,1,3,649000.0,2084.289256198347,1950.0,2125.0,Single Family Detached,Purchase,0.0,1,bad
602,973708,FL,2,3,269900.0,1508.0,2019.0,10018.8,Single Family Detached,Purchase,3.0,1,bad
603,972861,FL,4,4,2050.0,2028.0,2006.0,1306.8,Townhouse,Rent,2.0,28,good
605,970438,VA,1,3,94500.0,2084.289256198347,1947.0,7501.03,Single Family Detached,Purchase,0.0,1,bad
606,969912,TX,2,3,209000.0,1676.0,1965.0,122417.00078291811,Single Family Detached,Purchase,0.0,11,good
608,969210,KY,2,3,169900.0,1505.0,2018.0,122417.00078291811,Single Family Detached,Purchase,0.0,1,bad
610,969142,WV,1,2,117500.0,1026.0,1970.0,122417.00078291811,Other,Purchase,0.0,1,bad
611,968996,TN,2,3,82500.0,1620.0,2001.0,91476.0,Mobile Home,Purchase,4.0,1,bad
612,968766,NC,3,4,365000.0,2719.0,2018.0,612453.6,Single Family Detached,Purchase,0.0,1,bad
613,965630,NV,2,2,275000.0,1687.0,1994.0,6534.0,Single Family Detached,Purchase,0.0,1,bad
614,964448,NY,0,0,149900.0,4733.0,1900.0,47916.0,Other,Purchase,0.0,1,bad
615,964024,GA,1,3,17500.0,1404.0,1968.0,7840.8,Single Family Detached,Purchase,0.0,1,bad
616,964023,GA,1,2,15000.0,750.0,1960.0,7840.8,Single Family Detached,Purchase,0.0,1,bad
617,964022,GA,1,2,17500.0,750.0,1960.0,7840.8,Single Family Detached,Purchase,0.0,1,bad
618,964021,GA,1,2,30000.0,864.0,1950.0,12196.8,Single Family Detached,Purchase,0.0,1,bad
619,964020,GA,1,2,15000.0,940.0,1960.0,7840.8,Single Family Detached,Purchase,0.0,1,bad
620,963522,GA,3,3,216325.0,1855.0,2018.0,40075.2,Single Family Detached,Purchase,0.0,1,bad
621,963023,FL,2,3,238990.0,1864.0,2018.0,11112.16,Single Family Detached,Purchase,2.0,1,bad
622,963022,FL,2,3,217990.0,1413.0,2018.0,10018.8,Single Family Detached,Purchase,2.0,1,bad
623,962959,FL,2,2,6500.0,1000.0,2003.0,122417.00078291811,Condominium,Purchase,1.0,1,bad
624,961879,NC,2,3,115000.0,2084.289256198347,1995.0,122417.00078291811,Mobile Home,Purchase,0.0,0,bad
625,961792,NC,2,3,116000.0,2084.289256198347,1983.0,122417.00078291811,Single Family Detached,Purchase,1.0,0,bad
626,961664,PR,1,3,89900.0,922.0,1988.0,122417.00078291811,Other,Purchase,0.0,0,bad
627,961618,IN,2,3,67500.0,2270.0,1904.0,122417.00078291811,Other,Purchase,0.0,0,bad
628,961057,IA,5,4,550000.0,3000.0,2019.0,13329.36,Single Family Detached,Purchase,0.0,0,bad
630,959790,SC,2,4,65000.0,1728.0,2001.0,20037.6,Other,Purchase,0.0,0,bad
631,959332,NC,2,2,249900.0,1494.0,1940.0,7405.2,Single Family Detached,Purchase,3.0,1,bad
632,958172,NC,2,3,188000.0,2084.289256198347,1960.0,122417.00078291811,Single Family Detached,Purchase,0.0,1,bad
635,941708,NY,3,6,599000.0,2640.0,1906.0,2992.57,Single Family Detached,Purchase,0.0,11,good
636,934403,MI,3,3,280000.0,1600.0,2018.0,47480.4,Single Family Detached,Purchase,3.0,24,good
637,920633,CA,2,3,275000.0,1504.0,1985.0,122417.00078291811,Single Family Detached,Purchase,6.0,1,bad
638,884442,MI,2,2,6500.0,1032.0,2006.0,122417.00078291811,Condominium,Purchase,1.0,8,bad
639,875887,IN,1,2,99900.0,952.0,1952.0,7187.4,Single Family Detached,Purchase,2.0,17,good
640,841773,MO,2,3,47900.0,1656.0,1910.0,122417.00078291811,Single Family Detached,Purchase,1.0,11,good
641,834169,TX,2,3,199900.0,1134.0,2018.0,9147.6,Single Family Detached,Purchase,0.0,0,bad
642,831235,FL,3,4,314900.0,1984.0,2006.0,10890.0,Single Family Detached,Purchase,0.0,18,good
643,789938,FL,6,4,565000.0,4310.0,2002.0,122417.00078291811,Single Family Detached,Purchase,2.0,30,good
644,776574,VA,3,5,369900.0,3500.0,2004.0,122417.00078291811,Single Family Detached,Purchase,0.0,30,good
645,768970,TN,4,0,599000.0,8030.0,1983.0,122417.00078291811,Other,Purchase,0.0,0,bad
646,767240,TN,3,3,319900.0,1976.0,2018.0,55756.8,Single Family Detached,Purchase,2.0,0,bad
647,766701,TN,1,4,180000.0,1264.0,1961.0,20908.8,Single Family Detached,Purchase,0.0,0,bad
648,765840,TN,3,4,343783.0,3000.0,2018.0,218235.6,Single Family Detached,Purchase,2.0,0,bad
649,765740,TN,2,0,195000.0,900.0,1962.0,122417.00078291811,Duplex,Purchase,1.0,0,bad
650,765366,TN,1,3,159900.0,1316.0,1960.0,43995.6,Single Family Detached,Purchase,1.0,0,bad
651,764784,NY,3,3,1995000.0,1481.0,1989.0,122417.00078291811,Apartment,Purchase,0.0,11,good
652,762426,MI,2,2,25000.0,975.0,1938.0,3484.8,Single Family Detached,Purchase,0.0,1,bad
653,760620,MI,3,3,240000.0,2200.0,1958.0,8712.0,Single Family Detached,Purchase,0.0,1,bad
654,751321,WI,2,3,430000.0,2816.0,2008.0,65340.0,Single Family Detached,Purchase,0.0,14,good
655,749798,WI,1,3,102000.0,1080.0,1923.0,11761.2,Single Family Detached,Purchase,0.0,16,good
656,749790,WI,1,2,50000.0,894.0,1875.0,2613.6,Single Family Detached,Purchase,0.0,16,good
657,748045,WI,1,2,144900.0,960.0,1968.0,566280.0,Single Family Detached,Purchase,0.0,14,good
658,747618,WI,2,0,81900.0,1918.0,1925.0,10890.0,Duplex,Purchase,0.0,14,good
659,747240,WI,3,3,279900.0,2223.0,2004.0,18295.2,Single Family Detached,Purchase,0.0,14,good
660,742351,TX,2,3,144900.0,1272.0,2001.0,122417.00078291811,Single Family Attached,Purchase,2.0,14,good
661,738134,PA,6,4,975000.0,4865.0,2008.0,15246.0,Single Family Detached,Purchase,0.0,19,good
663,734975,NJ,4,4,583250.0,3000.0,1979.0,122417.00078291811,Single Family Detached,Purchase,0.0,0,bad
664,734872,NJ,5,5,1799000.0,0.0,1930.0,566280.0,Single Family Detached,Purchase,0.0,0,bad
665,730776,PA,0,0,79000.0,1575.0,1881.0,3484.8,Duplex,Purchase,0.0,1,bad
666,716034,IL,1,2,5900.0,1241.0,1920.0,3920.4,Single Family Detached,Purchase,0.0,1,bad
667,710538,NY,2,3,97000.0,1301.0,1920.0,3484.8,Single Family Detached,Purchase,1.0,18,good
668,708314,OK,2,3,259900.0,2576.0,1977.0,592851.6,Single Family Detached,Purchase,0.0,1,bad
669,705627,OK,1,2,75900.0,1037.0,1984.0,122417.00078291811,Duplex,Purchase,0.0,1,bad
670,705626,OK,1,2,59900.0,800.0,1940.0,122417.00078291811,Single Family Detached,Purchase,0.0,1,bad
671,701572,NE,4,4,419000.0,3318.0,2018.0,122417.00078291811,Single Family Detached,Purchase,3.0,0,bad
672,701275,NE,2,3,332000.0,1596.0,2018.0,122417.00078291811,Single Family Detached,Purchase,3.0,1,bad
673,700870,NE,3,5,306345.0,2573.0,2019.0,122417.00078291811,Single Family Detached,Purchase,3.0,0,bad
674,694530,NY,0,0,550000.0,0.0,1899.0,122417.00078291811,Duplex,Purchase,0.0,0,bad
676,692082,NY,1,3,145000000.0,1400.0,1930.0,1089000.0,Single Family Detached,Purchase,0.0,0,bad
677,690197,NY,2,4,169900.0,0.0,1986.0,122417.00078291811,Single Family Detached,Purchase,2.0,0,bad
678,690195,NY,2,3,84900.0,1648.0,1890.0,122417.00078291811,Single Family Detached,Purchase,0.0,0,bad
680,689463,NY,2,4,230000.0,0.0,1950.0,122417.00078291811,Single Family Detached,Purchase,0.0,0,bad
681,689427,NY,3,7,310000.0,3162.0,2006.0,122417.00078291811,Single Family Detached,Purchase,0.0,0,bad
682,687689,LA,2,3,140000.0,2300.0,1920.0,122417.00078291811,Single Family Detached,Purchase,3.0,20,good
683,687271,LA,1,3,7500.0,1692.0,1955.0,122417.00078291811,Single Family Detached,Purchase,1.0,1,bad
684,681851,TX,2,3,357500.0,2708.0,2007.0,130680.0,Single Family Detached,Purchase,2.0,0,bad
685,674417,TX,2,3,240000.0,1667.0,1975.0,7579.44,Single Family Detached,Purchase,2.0,20,good
686,672941,TX,4,4,275000.0,2632.0,2012.0,8145.72,Single Family Detached,Purchase,2.0,29,good
687,669927,TX,5,5,975000.0,4957.0,1999.0,11761.2,Single Family Detached,Purchase,3.0,1,bad
688,660466,TX,2,3,850000.0,1886.0,1963.0,173543.04,Single Family Detached,Purchase,4.0,0,bad
689,656332,TX,3,3,345900.0,1856.0,2018.0,2482.92,Townhouse,Purchase,2.0,0,bad
690,652270,OK,4,5,285000.0,4009.0,1998.0,10410.84,Single Family Detached,Purchase,2.0,11,good
691,651530,OK,2,3,82800.0,1104.0,1999.0,9147.6,Single Family Detached,Purchase,1.0,0,bad
692,651345,OK,2,3,186000.0,1500.0,2016.0,43560.0,Single Family Detached,Purchase,2.0,0,bad
693,649697,OK,5,6,295000.0,5897.0,1958.0,44866.8,Single Family Detached,Purchase,4.0,0,bad
694,647715,LA,0,0,4880.0,11712.0,2019.0,122417.00078291811,Other,Purchase,0.0,1,bad
695,647644,LA,0,0,305.0,2084.289256198347,1984.0,122417.00078291811,Other,Purchase,0.0,1,bad
696,647640,LA,0,0,305.0,2084.289256198347,1984.0,122417.00078291811,Other,Purchase,0.0,1,bad
697,647635,LA,0,0,305.0,2084.289256198347,1984.0,122417.00078291811,Other,Purchase,0.0,1,bad
698,647629,LA,0,0,305.0,2084.289256198347,1984.0,122417.00078291811,Other,Purchase,0.0,1,bad
699,647622,LA,0,0,305.0,2084.289256198347,1984.0,122417.00078291811,Other,Purchase,0.0,1,bad
700,647620,LA,0,0,305.0,2084.289256198347,1984.0,122417.00078291811,Other,Purchase,0.0,1,bad
701,647605,LA,0,0,305.0,2084.289256198347,1984.0,122417.00078291811,Other,Purchase,0.0,1,bad
702,647602,LA,0,0,305.0,2084.289256198347,1984.0,122417.00078291811,Other,Purchase,0.0,1,bad
703,638209,VT,2,3,149000.0,1656.0,1850.0,10890.0,Single Family Detached,Purchase,0.0,21,good
704,637373,VT,1,3,235000.0,864.0,1965.0,49658.4,Single Family Detached,Purchase,0.0,15,good
705,629849,TX,4,4,285.0,2366.0,1991.0,122417.00078291811,Other,Purchase,0.0,1,bad
706,625119,OH,2,4,124900.0,1388.0,1930.0,4948.42,Single Family Detached,Purchase,2.0,34,good
707,613690,OH,2,4,82500.0,1620.0,1927.0,4809.02,Duplex,Purchase,2.0,11,good
708,603259,MS,3,3,164500.0,1340.0,2004.0,122417.00078291811,Condominium,Purchase,0.0,18,good
709,574673,CA,2,3,350000.0,1243.0,2009.0,7405.0,Single Family Detached,Purchase,2.0,16,good
710,571235,ME,1,2,189000.0,1618.0,2004.0,152460.0,Single Family Detached,Purchase,0.0,22,good
711,546008,IL,0,0,120000.0,2084.289256198347,1907.0,122417.00078291811,Duplex,Purchase,0.0,1,bad
712,539611,IL,2,3,650000.0,2000.0,1899.0,122417.00078291811,Condominium,Purchase,1.0,20,good
713,537403,IL,1,2,69900.0,750.0,1970.0,122417.00078291811,Condominium,Purchase,2.0,19,good
715,531822,NJ,2,3,439000.0,2100.0,1958.0,80150.4,Single Family Detached,Purchase,0.0,30,good
716,529071,NJ,2,3,149900.0,1326.0,1988.0,871.2,Townhouse,Purchase,0.0,0,bad
717,524824,MA,3,4,599500.0,2400.0,2018.0,16117.2,Single Family Detached,Purchase,4.0,21,good
